INSERT INTO SPETTATORE (NOME, COGNOME, DATA_DI_NASCITA) VALUES
('Mary', 'Ramirez', '1909-02-07'),
('Robert', 'Hernandez', '1968-10-28'),
('Daniel', 'Jackson', '1949-04-20'),
('David', 'Willis', '1968-08-08'),
('Sarah', 'King', '1956-11-12'),
('Kelly', 'Keller', '1976-02-17'),
('Alex', 'King', '1971-10-08'),
('Tracey', 'Fox', '1979-10-20'),
('Susan', 'King', '1947-03-10'),
('Erika', 'Brown', '1929-09-01'),
('Christopher', 'Ward', '1979-04-16'),
('Sarah', 'Ramos', '1917-05-09'),
('Erik', 'Medina', '1969-12-11'),
('Christopher', 'Tyler', '1951-07-29'),
('Joshua', 'Ibarra', '1947-08-13'),
('Joshua', 'Herring', '1972-11-29'),
('Meredith', 'King', '1909-12-12'),
('Zachary', 'Turner', '1994-01-01'),
('Chad', 'Hernandez', '1964-01-22'),
('Tony', 'Schroeder', '1980-03-20'),
('Michele', 'Zuniga', '1945-05-04'),
('Margaret', 'English', '2002-08-11'),
('Tiffany', 'Wilkinson', '1954-04-26'),
('Andrew', 'Mcguire', '1910-10-27'),
('Michael', 'Price', '1948-08-15'),
('Pamela', 'Moore', '2000-06-08'),
('Nathan', 'Wells', '1921-12-15'),
('Danielle', 'Brown', '1974-05-18'),
('Sarah', 'Baker', '1915-05-17'),
('Anita', 'Gomez', '2005-03-07'),
('Joseph', 'Walters', '1963-10-26'),
('Richard', 'Rodriguez', '1909-06-14'),
('Joanne', 'Alvarez', '1995-09-23'),
('Jennifer', 'Powell', '1918-09-07'),
('Kimberly', 'Morgan', '1956-05-07'),
('Lonnie', 'Holt', '1946-03-10'),
('Joshua', 'Sanchez', '1917-12-31'),
('Misty', 'Grant', '1964-12-22'),
('Rachael', 'Allen', '1940-12-20'),
('Anthony', 'Short', '2002-05-03'),
('Sara', 'Archer', '1932-02-26'),
('Robert', 'Sullivan', '1953-06-29'),
('Janice', 'Williams', '1985-09-24'),
('Jeffrey', 'Townsend', '2004-02-06'),
('Daniel', 'Kelly', '2002-12-12'),
('Christina', 'Schmidt', '1953-08-19'),
('Heather', 'Cameron', '1963-02-01'),
('Jennifer', 'Harper', '1954-06-12'),
('Jackie', 'Jones', '1941-07-19'),
('Diane', 'Hubbard', '1970-06-29'),
('Nathan', 'Romero', '1968-09-12'),
('Dorothy', 'Hamilton', '1965-04-15'),
('Mark', 'Escobar', '1950-02-02'),
('Alicia', 'Martinez', '1952-12-12'),
('Lauren', 'Johnson', '2001-10-27'),
('Richard', 'Williams', '1986-08-23'),
('James', 'Braun', '1935-05-24'),
('Jorge', 'Wilcox', '1984-02-25'),
('John', 'Brown', '1974-09-15'),
('Katelyn', 'Gardner', '1996-07-06'),
('Dylan', 'Brown', '1938-11-10'),
('Dana', 'Gutierrez', '1914-12-10'),
('Mary', 'Rodriguez', '1943-05-14'),
('Judy', 'Frazier', '1978-06-19'),
('Gary', 'Johnson', '1978-03-24'),
('James', 'Combs', '1917-02-27'),
('Sean', 'Vasquez', '1991-06-08'),
('Maria', 'Anderson', '1972-12-25'),
('Christopher', 'Jones', '1952-01-03'),
('Andrew', 'Hansen', '2006-01-30'),
('James', 'Taylor', '1937-08-23'),
('Jesse', 'West', '1912-04-08'),
('Andrew', 'Mcconnell', '1932-12-02'),
('Katelyn', 'Hopkins', '1913-07-17'),
('Michael', 'Scott', '1908-10-21'),
('Rachel', 'Colon', '1990-05-04'),
('Sara', 'Johnson', '1914-01-23'),
('Manuel', 'Cooper', '1941-06-04'),
('Aaron', 'Tate', '1991-09-07'),
('John', 'Johnson', '1989-05-19'),
('Phillip', 'Armstrong', '1962-08-20'),
('Jason', 'Evans', '1961-03-05'),
('Donald', 'Walter', '1935-08-03'),
('Jo', 'Armstrong', '2002-04-17'),
('Rachel', 'Koch', '1911-11-07'),
('Jessica', 'Orr', '1983-01-18'),
('Danielle', 'Dawson', '1959-10-01'),
('Kimberly', 'Moore', '1998-04-14'),
('Michele', 'Moore', '1989-03-31'),
('Jeremiah', 'Mendez', '1932-03-31'),
('Andrew', 'Snyder', '1968-02-16'),
('Kimberly', 'Best', '1944-04-28'),
('Mark', 'Oconnell', '1943-01-13'),
('Thomas', 'Torres', '1982-09-27'),
('Carrie', 'Richardson', '1977-01-16'),
('Kyle', 'Pruitt', '1950-02-19'),
('Mary', 'Harris', '1940-06-18'),
('Eric', 'Middleton', '1925-09-13'),
('Brian', 'Castro', '1917-09-25'),
('Joshua', 'Young', '1976-12-05'),
('Eugene', 'Fuller', '1930-08-23'),
('Melissa', 'Graves', '2001-08-31'),
('Emily', 'Levine', '1955-05-20'),
('James', 'Meyers', '1963-04-24'),
('Dillon', 'Mcguire', '1952-12-23'),
('James', 'Owens', '1926-12-10'),
('Daniel', 'Green', '1995-09-13'),
('Catherine', 'Shaffer', '2002-01-28'),
('Heidi', 'Taylor', '1978-12-19'),
('Dorothy', 'Ward', '1910-10-06'),
('Daniel', 'Flores', '1959-11-29'),
('Joseph', 'Jackson', '1955-11-27'),
('Zachary', 'Eaton', '1965-07-01'),
('Ashley', 'Perez', '1970-08-21'),
('Eric', 'Valdez', '1926-04-13'),
('Trevor', 'Taylor', '1982-11-06'),
('Daniel', 'Campos', '1947-10-30'),
('Ronald', 'George', '1972-03-12'),
('Stephen', 'Allen', '1977-09-27'),
('Rebecca', 'Nunez', '1936-10-11'),
('Molly', 'Shaw', '1954-12-04'),
('Samuel', 'Reynolds', '2002-05-23'),
('Laura', 'Tran', '1970-05-09'),
('Jennifer', 'Morgan', '1999-09-28'),
('Mathew', 'Park', '1923-02-23'),
('Tammy', 'Sherman', '1997-01-19'),
('Robert', 'Hill', '1977-12-25'),
('Melissa', 'Brown', '1991-09-18'),
('Wendy', 'Moore', '1964-10-16'),
('Shawn', 'Castillo', '1948-05-22'),
('Brian', 'Allen', '1950-05-08'),
('Brent', 'Singleton', '1965-05-18'),
('Ronald', 'Herring', '1937-09-18'),
('Phillip', 'Ball', '1951-10-19'),
('Teresa', 'Phillips', '1946-12-10'),
('Cristina', 'Freeman', '1923-07-28'),
('Emily', 'Floyd', '1970-10-15'),
('Lori', 'Williams', '1925-12-01'),
('Arthur', 'Shepherd', '1989-03-22'),
('John', 'Yoder', '1972-03-06'),
('Kristen', 'Williams', '1998-12-13'),
('Jason', 'Dean', '1939-01-15'),
('Denise', 'Martinez', '1951-12-02'),
('Paula', 'Walsh', '1986-07-12'),
('Edward', 'Soto', '1973-09-16'),
('Matthew', 'Valentine', '1960-03-01'),
('Alexander', 'Thornton', '1962-09-04'),
('Deborah', 'Barnett', '1963-09-14'),
('Zachary', 'Smith', '1972-10-28'),
('David', 'Hamilton', '2000-03-01'),
('Cameron', 'Pearson', '1983-01-13'),
('Mikayla', 'Avila', '1960-01-08'),
